"Time","image-stats-746c9bfb67-rrk77"
2025-07-07 19:14:06,36.2 MiB
2025-07-07 19:14:07,36.2 MiB
2025-07-07 19:14:08,36.2 MiB
2025-07-07 19:14:09,36.2 MiB
2025-07-07 19:14:10,36.2 MiB
2025-07-07 19:14:11,36.2 MiB
2025-07-07 19:14:12,36.2 MiB
2025-07-07 19:14:13,36.2 MiB
2025-07-07 19:14:14,36.2 MiB
2025-07-07 19:14:15,36.2 MiB
2025-07-07 19:14:16,36.2 MiB
2025-07-07 19:14:17,36.3 MiB
2025-07-07 19:14:18,36.3 MiB
2025-07-07 19:14:19,36.3 MiB
2025-07-07 19:14:20,36.3 MiB
2025-07-07 19:14:21,36.3 MiB
2025-07-07 19:14:22,36.3 MiB
2025-07-07 19:14:23,36.3 MiB
2025-07-07 19:14:24,36.3 MiB
2025-07-07 19:14:25,36.3 MiB
2025-07-07 19:14:26,36.3 MiB
2025-07-07 19:14:27,36.3 MiB
2025-07-07 19:14:28,36.3 MiB
2025-07-07 19:14:29,36.3 MiB
2025-07-07 19:14:30,36.3 MiB
