"Time","{instance=""worker3"", interface=""lxcc7a949fee869""}"
2025-07-07 19:14:16,920 B/s
2025-07-07 19:14:17,938 B/s
2025-07-07 19:14:18,1.10 kB/s
2025-07-07 19:14:19,1.10 kB/s
2025-07-07 19:14:20,1.10 kB/s
2025-07-07 19:14:21,1.10 kB/s
2025-07-07 19:14:22,1.10 kB/s
2025-07-07 19:14:23,1.10 kB/s
2025-07-07 19:14:24,1.10 kB/s
2025-07-07 19:14:25,1.10 kB/s
2025-07-07 19:14:26,1.10 kB/s
2025-07-07 19:14:27,1.10 kB/s
2025-07-07 19:14:28,942 B/s
2025-07-07 19:14:29,923 B/s
2025-07-07 19:14:30,905 B/s
