"Time","image-filter-cfbfd9b5f-vdtq9"
2025-07-07 19:14:04,0.000716 cores
2025-07-07 19:14:05,0.000716 cores
2025-07-07 19:14:06,0.000716 cores
2025-07-07 19:14:07,0.000697 cores
2025-07-07 19:14:08,0.000697 cores
2025-07-07 19:14:09,0.000697 cores
2025-07-07 19:14:10,0.000697 cores
2025-07-07 19:14:11,0.000640 cores
2025-07-07 19:14:12,0.000748 cores
2025-07-07 19:14:13,0.000748 cores
2025-07-07 19:14:14,0.000748 cores
2025-07-07 19:14:15,0.000748 cores
2025-07-07 19:14:16,0.000748 cores
2025-07-07 19:14:17,0.000748 cores
2025-07-07 19:14:18,0.000748 cores
2025-07-07 19:14:19,0.000748 cores
2025-07-07 19:14:20,0.000748 cores
2025-07-07 19:14:21,0.000646 cores
2025-07-07 19:14:22,0.000634 cores
2025-07-07 19:14:23,0.000621 cores
2025-07-07 19:14:24,0.000609 cores
2025-07-07 19:14:25,0.000596 cores
2025-07-07 19:14:26,0.000584 cores
2025-07-07 19:14:27,0.000652 cores
2025-07-07 19:14:28,0.000652 cores
2025-07-07 19:14:29,0.000652 cores
2025-07-07 19:14:30,0.000652 cores
