"Time","{instance=""worker3"", interface=""lxcc7a949fee869""}"
2025-07-07 19:13:53,1.10 kB/s
2025-07-07 19:13:54,1.10 kB/s
2025-07-07 19:13:55,1.10 kB/s
2025-07-07 19:13:56,1.10 kB/s
2025-07-07 19:13:57,1.10 kB/s
2025-07-07 19:13:58,941 B/s
2025-07-07 19:13:59,922 B/s
2025-07-07 19:14:00,904 B/s
2025-07-07 19:14:01,885 B/s
2025-07-07 19:14:02,867 B/s
2025-07-07 19:14:03,467 B/s
2025-07-07 19:14:04,467 B/s
2025-07-07 19:14:05,467 B/s
2025-07-07 19:14:06,467 B/s
2025-07-07 19:14:07,467 B/s
2025-07-07 19:14:08,467 B/s
2025-07-07 19:14:09,467 B/s
2025-07-07 19:14:10,467 B/s
2025-07-07 19:14:11,467 B/s
2025-07-07 19:14:12,467 B/s
2025-07-07 19:14:13,370 B/s
2025-07-07 19:14:14,378 B/s
2025-07-07 19:14:15,386 B/s
2025-07-07 19:14:16,394 B/s
2025-07-07 19:14:17,402 B/s
2025-07-07 19:14:18,471 B/s
2025-07-07 19:14:19,471 B/s
2025-07-07 19:14:20,471 B/s
2025-07-07 19:14:21,471 B/s
2025-07-07 19:14:22,471 B/s
2025-07-07 19:14:23,471 B/s
2025-07-07 19:14:24,471 B/s
2025-07-07 19:14:25,471 B/s
2025-07-07 19:14:26,471 B/s
2025-07-07 19:14:27,471 B/s
2025-07-07 19:14:28,403 B/s
2025-07-07 19:14:29,396 B/s
2025-07-07 19:14:30,388 B/s
