"Time","image-stats-746c9bfb67-bzkw5"
2025-07-08 14:08:36,35.6 MiB
2025-07-08 14:08:38,35.6 MiB
2025-07-08 14:08:40,35.6 MiB
2025-07-08 14:08:42,35.6 MiB
2025-07-08 14:08:44,35.6 MiB
2025-07-08 14:08:46,35.6 MiB
2025-07-08 14:08:48,35.6 MiB
2025-07-08 14:08:50,35.6 MiB
2025-07-08 14:08:52,35.6 MiB
2025-07-08 14:08:54,35.6 MiB
2025-07-08 14:08:56,35.6 MiB
2025-07-08 14:08:58,35.6 MiB
2025-07-08 14:09:00,35.6 MiB
2025-07-08 14:09:02,35.6 MiB
2025-07-08 14:09:04,35.6 MiB
2025-07-08 14:09:06,35.6 MiB
2025-07-08 14:09:08,35.6 MiB
2025-07-08 14:09:10,35.6 MiB
2025-07-08 14:09:12,35.6 MiB
2025-07-08 14:09:14,35.6 MiB
2025-07-08 14:09:16,35.6 MiB
2025-07-08 14:09:18,35.6 MiB
2025-07-08 14:09:20,35.8 MiB
2025-07-08 14:09:22,35.8 MiB
2025-07-08 14:09:24,35.8 MiB
2025-07-08 14:09:26,35.8 MiB
2025-07-08 14:09:28,35.8 MiB
2025-07-08 14:09:30,35.8 MiB
2025-07-08 14:09:32,35.8 MiB
2025-07-08 14:09:34,35.8 MiB
2025-07-08 14:09:36,35.9 MiB
2025-07-08 14:09:38,35.9 MiB
2025-07-08 14:09:40,35.9 MiB
2025-07-08 14:09:42,35.9 MiB
2025-07-08 14:09:44,35.9 MiB
2025-07-08 14:09:46,35.9 MiB
2025-07-08 14:09:48,35.9 MiB
2025-07-08 14:09:50,35.9 MiB
2025-07-08 14:09:52,35.9 MiB
2025-07-08 14:09:54,35.9 MiB
2025-07-08 14:09:56,35.9 MiB
2025-07-08 14:09:58,35.9 MiB
2025-07-08 14:10:00,35.9 MiB
2025-07-08 14:10:02,35.9 MiB
2025-07-08 14:10:04,35.9 MiB
2025-07-08 14:10:06,35.9 MiB
2025-07-08 14:10:08,35.9 MiB
2025-07-08 14:10:10,35.9 MiB
2025-07-08 14:10:12,36.1 MiB
2025-07-08 14:10:14,36.1 MiB
2025-07-08 14:10:16,36.1 MiB
2025-07-08 14:10:18,36.1 MiB
2025-07-08 14:10:20,36.1 MiB
2025-07-08 14:10:22,36.1 MiB
2025-07-08 14:10:24,36.1 MiB
2025-07-08 14:10:26,36.1 MiB
2025-07-08 14:10:28,36.1 MiB
2025-07-08 14:10:30,36.1 MiB
2025-07-08 14:10:32,36.1 MiB
2025-07-08 14:10:34,36.1 MiB
2025-07-08 14:10:36,36.1 MiB
2025-07-08 14:10:38,36.1 MiB
2025-07-08 14:10:40,36.1 MiB
2025-07-08 14:10:42,36.1 MiB
2025-07-08 14:10:44,36.1 MiB
2025-07-08 14:10:46,36.1 MiB
2025-07-08 14:10:48,36.1 MiB
2025-07-08 14:10:50,36.1 MiB
2025-07-08 14:10:52,36.1 MiB
2025-07-08 14:10:54,36.1 MiB
2025-07-08 14:10:56,36.1 MiB
2025-07-08 14:10:58,36.1 MiB
2025-07-08 14:11:00,36.1 MiB
2025-07-08 14:11:02,36.1 MiB
2025-07-08 14:11:04,36.1 MiB
2025-07-08 14:11:06,36.1 MiB
2025-07-08 14:11:08,36.1 MiB
2025-07-08 14:11:10,36.1 MiB
2025-07-08 14:11:12,36.1 MiB
2025-07-08 14:11:14,36.1 MiB
2025-07-08 14:11:16,36.1 MiB
2025-07-08 14:11:18,36.1 MiB
2025-07-08 14:11:20,36.1 MiB
2025-07-08 14:11:22,36.1 MiB
2025-07-08 14:11:24,36.1 MiB
2025-07-08 14:11:26,36.1 MiB
2025-07-08 14:11:28,36.1 MiB
2025-07-08 14:11:30,36.1 MiB
2025-07-08 14:11:32,36.1 MiB
2025-07-08 14:11:34,36.1 MiB
2025-07-08 14:11:36,36.1 MiB
2025-07-08 14:11:38,36.1 MiB
2025-07-08 14:11:40,36.1 MiB
2025-07-08 14:11:42,36.1 MiB
2025-07-08 14:11:44,36.1 MiB
2025-07-08 14:11:46,36.1 MiB
2025-07-08 14:11:48,36.1 MiB
2025-07-08 14:11:50,36.1 MiB
2025-07-08 14:11:52,36.1 MiB
2025-07-08 14:11:54,36.2 MiB
2025-07-08 14:11:56,36.2 MiB
2025-07-08 14:11:58,36.2 MiB
2025-07-08 14:12:00,36.2 MiB
2025-07-08 14:12:02,36.2 MiB
2025-07-08 14:12:04,36.2 MiB
2025-07-08 14:12:06,36.2 MiB
2025-07-08 14:12:08,36.2 MiB
2025-07-08 14:12:10,36.2 MiB
2025-07-08 14:12:12,36.2 MiB
2025-07-08 14:12:14,36.2 MiB
2025-07-08 14:12:16,36.2 MiB
2025-07-08 14:12:18,36.2 MiB
2025-07-08 14:12:20,35.5 MiB
2025-07-08 14:12:22,35.5 MiB
2025-07-08 14:12:24,35.5 MiB
2025-07-08 14:12:26,35.5 MiB
2025-07-08 14:12:28,35.5 MiB
2025-07-08 14:12:30,35.5 MiB
2025-07-08 14:12:32,35.5 MiB
2025-07-08 14:12:34,35.5 MiB
2025-07-08 14:12:36,35.5 MiB
2025-07-08 14:12:38,35.7 MiB
2025-07-08 14:12:40,35.7 MiB
2025-07-08 14:12:42,35.7 MiB
2025-07-08 14:12:44,35.7 MiB
2025-07-08 14:12:46,35.7 MiB
2025-07-08 14:12:48,35.7 MiB
2025-07-08 14:12:50,35.7 MiB
2025-07-08 14:12:52,35.7 MiB
2025-07-08 14:12:54,35.7 MiB
2025-07-08 14:12:56,35.7 MiB
2025-07-08 14:12:58,35.7 MiB
2025-07-08 14:13:00,35.7 MiB
2025-07-08 14:13:02,35.7 MiB
2025-07-08 14:13:04,35.7 MiB
2025-07-08 14:13:06,35.7 MiB
2025-07-08 14:13:08,35.7 MiB
2025-07-08 14:13:10,35.7 MiB
2025-07-08 14:13:12,35.8 MiB
2025-07-08 14:13:14,35.8 MiB
2025-07-08 14:13:16,35.8 MiB
2025-07-08 14:13:18,35.8 MiB
2025-07-08 14:13:20,35.8 MiB
2025-07-08 14:13:22,35.8 MiB
2025-07-08 14:13:24,35.9 MiB
2025-07-08 14:13:26,35.9 MiB
2025-07-08 14:13:28,35.9 MiB
2025-07-08 14:13:30,35.9 MiB
2025-07-08 14:13:32,35.9 MiB
2025-07-08 14:13:34,35.9 MiB
