"Time","image-stats-746c9bfb67-frt5h"
2025-07-07 14:43:32,36.1 MiB
2025-07-07 14:43:33,36.1 MiB
2025-07-07 14:43:34,36.1 MiB
2025-07-07 14:43:35,36.2 MiB
2025-07-07 14:43:36,36.2 MiB
2025-07-07 14:43:37,36.2 MiB
2025-07-07 14:43:38,36.2 MiB
2025-07-07 14:43:39,36.2 MiB
2025-07-07 14:43:40,36.2 MiB
2025-07-07 14:43:41,36.2 MiB
2025-07-07 14:43:42,36.2 MiB
2025-07-07 14:43:43,36.2 MiB
2025-07-07 14:43:44,36.2 MiB
2025-07-07 14:43:45,36.2 MiB
2025-07-07 14:43:46,36.2 MiB
2025-07-07 14:43:47,36.2 MiB
2025-07-07 14:43:48,36.3 MiB
2025-07-07 14:43:49,36.3 MiB
2025-07-07 14:43:50,36.3 MiB
2025-07-07 14:43:51,36.3 MiB
2025-07-07 14:43:52,36.3 MiB
2025-07-07 14:43:53,36.3 MiB
2025-07-07 14:43:54,36.3 MiB
2025-07-07 14:43:55,36.3 MiB
2025-07-07 14:43:56,36.3 MiB
2025-07-07 14:43:57,36.3 MiB
2025-07-07 14:43:58,36.3 MiB
2025-07-07 14:43:59,36.3 MiB
2025-07-07 14:44:00,36.3 MiB
2025-07-07 14:44:01,36.3 MiB
2025-07-07 14:44:02,36.3 MiB
2025-07-07 14:44:03,36.3 MiB
2025-07-07 14:44:04,36.3 MiB
2025-07-07 14:44:05,36.3 MiB
2025-07-07 14:44:06,36.3 MiB
2025-07-07 14:44:07,36.7 MiB
2025-07-07 14:44:08,36.7 MiB
2025-07-07 14:44:09,36.7 MiB
2025-07-07 14:44:10,36.7 MiB
2025-07-07 14:44:11,36.7 MiB
2025-07-07 14:44:12,36.7 MiB
2025-07-07 14:44:13,36.7 MiB
2025-07-07 14:44:14,36.7 MiB
2025-07-07 14:44:15,36.7 MiB
2025-07-07 14:44:16,36.7 MiB
2025-07-07 14:44:17,36.7 MiB
2025-07-07 14:44:18,36.7 MiB
2025-07-07 14:44:19,36.7 MiB
2025-07-07 14:44:20,36.7 MiB
2025-07-07 14:44:21,37.9 MiB
2025-07-07 14:44:22,37.9 MiB
2025-07-07 14:44:23,37.9 MiB
2025-07-07 14:44:24,37.9 MiB
2025-07-07 14:44:25,37.9 MiB
2025-07-07 14:44:26,37.9 MiB
2025-07-07 14:44:27,37.9 MiB
2025-07-07 14:44:28,37.9 MiB
2025-07-07 14:44:29,37.9 MiB
2025-07-07 14:44:30,37.9 MiB
2025-07-07 14:44:31,37.9 MiB
2025-07-07 14:44:32,37.9 MiB
2025-07-07 14:44:33,37.9 MiB
2025-07-07 14:44:34,37.9 MiB
2025-07-07 14:44:35,37.9 MiB
2025-07-07 14:44:36,37.9 MiB
2025-07-07 14:44:37,37.9 MiB
2025-07-07 14:44:38,37.9 MiB
2025-07-07 14:44:39,37.9 MiB
2025-07-07 14:44:40,37.9 MiB
2025-07-07 14:44:41,37.9 MiB
2025-07-07 14:44:42,37.9 MiB
2025-07-07 14:44:43,37.9 MiB
2025-07-07 14:44:44,37.9 MiB
2025-07-07 14:44:45,37.9 MiB
2025-07-07 14:44:46,37.9 MiB
2025-07-07 14:44:47,37.9 MiB
2025-07-07 14:44:48,37.9 MiB
2025-07-07 14:44:49,37.9 MiB
2025-07-07 14:44:50,37.9 MiB
2025-07-07 14:44:51,38.0 MiB
2025-07-07 14:44:52,38.0 MiB
2025-07-07 14:44:53,38.0 MiB
2025-07-07 14:44:54,38.0 MiB
2025-07-07 14:44:55,38.0 MiB
2025-07-07 14:44:56,38.0 MiB
2025-07-07 14:44:57,38.0 MiB
2025-07-07 14:44:58,38.0 MiB
2025-07-07 14:44:59,38.0 MiB
2025-07-07 14:45:00,38.0 MiB
2025-07-07 14:45:01,38.0 MiB
2025-07-07 14:45:02,38.0 MiB
2025-07-07 14:45:03,38.0 MiB
2025-07-07 14:45:04,38.0 MiB
2025-07-07 14:45:05,38.1 MiB
2025-07-07 14:45:06,38.1 MiB
2025-07-07 14:45:07,38.1 MiB
2025-07-07 14:45:08,38.1 MiB
2025-07-07 14:45:09,38.1 MiB
2025-07-07 14:45:10,38.1 MiB
2025-07-07 14:45:11,38.1 MiB
2025-07-07 14:45:12,38.1 MiB
2025-07-07 14:45:13,38.1 MiB
2025-07-07 14:45:14,38.1 MiB
2025-07-07 14:45:15,38.1 MiB
2025-07-07 14:45:16,38.1 MiB
2025-07-07 14:45:17,38.1 MiB
2025-07-07 14:45:18,38.1 MiB
2025-07-07 14:45:19,38.1 MiB
2025-07-07 14:45:20,38.1 MiB
2025-07-07 14:45:21,38.1 MiB
2025-07-07 14:45:22,38.1 MiB
2025-07-07 14:45:23,38.1 MiB
2025-07-07 14:45:24,38.1 MiB
2025-07-07 14:45:25,38.1 MiB
2025-07-07 14:45:26,38.1 MiB
2025-07-07 14:45:27,38.1 MiB
2025-07-07 14:45:28,38.1 MiB
2025-07-07 14:45:29,38.1 MiB
2025-07-07 14:45:30,38.1 MiB
2025-07-07 14:45:31,38.1 MiB
2025-07-07 14:45:32,38.1 MiB
2025-07-07 14:45:33,38.1 MiB
2025-07-07 14:45:34,38.1 MiB
2025-07-07 14:45:35,38.1 MiB
2025-07-07 14:45:36,38.1 MiB
2025-07-07 14:45:37,38.1 MiB
2025-07-07 14:45:38,38.1 MiB
2025-07-07 14:45:39,38.1 MiB
2025-07-07 14:45:40,38.1 MiB
2025-07-07 14:45:41,38.1 MiB
2025-07-07 14:45:42,38.1 MiB
2025-07-07 14:45:43,38.1 MiB
2025-07-07 14:45:44,38.1 MiB
2025-07-07 14:45:45,38.1 MiB
2025-07-07 14:45:46,38.1 MiB
2025-07-07 14:45:47,38.1 MiB
2025-07-07 14:45:48,38.1 MiB
2025-07-07 14:45:49,38.1 MiB
2025-07-07 14:45:50,38.1 MiB
2025-07-07 14:45:51,38.1 MiB
2025-07-07 14:45:52,38.1 MiB
2025-07-07 14:45:53,38.1 MiB
2025-07-07 14:45:54,38.1 MiB
2025-07-07 14:45:55,38.1 MiB
2025-07-07 14:45:56,38.1 MiB
2025-07-07 14:45:57,38.1 MiB
2025-07-07 14:45:58,38.1 MiB
2025-07-07 14:45:59,38.1 MiB
2025-07-07 14:46:00,38.1 MiB
2025-07-07 14:46:01,38.1 MiB
2025-07-07 14:46:02,38.1 MiB
2025-07-07 14:46:03,38.1 MiB
2025-07-07 14:46:04,38.1 MiB
2025-07-07 14:46:05,38.1 MiB
2025-07-07 14:46:06,38.1 MiB
2025-07-07 14:46:07,38.1 MiB
2025-07-07 14:46:08,38.1 MiB
2025-07-07 14:46:09,38.1 MiB
2025-07-07 14:46:10,38.1 MiB
2025-07-07 14:46:11,38.1 MiB
2025-07-07 14:46:12,38.1 MiB
2025-07-07 14:46:13,38.1 MiB
2025-07-07 14:46:14,38.1 MiB
2025-07-07 14:46:15,38.1 MiB
2025-07-07 14:46:16,38.1 MiB
2025-07-07 14:46:17,38.1 MiB
2025-07-07 14:46:18,38.1 MiB
2025-07-07 14:46:19,38.1 MiB
2025-07-07 14:46:20,38.1 MiB
2025-07-07 14:46:21,38.1 MiB
2025-07-07 14:46:22,38.1 MiB
2025-07-07 14:46:23,38.1 MiB
2025-07-07 14:46:24,38.1 MiB
2025-07-07 14:46:25,38.1 MiB
2025-07-07 14:46:26,38.1 MiB
2025-07-07 14:46:27,38.1 MiB
2025-07-07 14:46:28,38.1 MiB
2025-07-07 14:46:29,38.1 MiB
2025-07-07 14:46:30,38.1 MiB
2025-07-07 14:46:31,38.1 MiB
2025-07-07 14:46:32,38.1 MiB
2025-07-07 14:46:33,38.1 MiB
2025-07-07 14:46:34,38.1 MiB
2025-07-07 14:46:35,38.1 MiB
2025-07-07 14:46:36,38.1 MiB
2025-07-07 14:46:37,38.1 MiB
2025-07-07 14:46:38,38.1 MiB
2025-07-07 14:46:39,38.1 MiB
2025-07-07 14:46:40,38.1 MiB
2025-07-07 14:46:41,38.1 MiB
2025-07-07 14:46:42,38.1 MiB
2025-07-07 14:46:43,38.1 MiB
2025-07-07 14:46:44,38.1 MiB
2025-07-07 14:46:45,38.1 MiB
2025-07-07 14:46:46,38.1 MiB
2025-07-07 14:46:47,38.1 MiB
2025-07-07 14:46:48,38.1 MiB
2025-07-07 14:46:49,38.1 MiB
2025-07-07 14:46:50,38.1 MiB
2025-07-07 14:46:51,38.1 MiB
2025-07-07 14:46:52,38.1 MiB
2025-07-07 14:46:53,38.1 MiB
2025-07-07 14:46:54,38.1 MiB
2025-07-07 14:46:55,38.1 MiB
2025-07-07 14:46:56,38.1 MiB
2025-07-07 14:46:57,38.1 MiB
2025-07-07 14:46:58,38.1 MiB
2025-07-07 14:46:59,38.1 MiB
2025-07-07 14:47:00,38.1 MiB
