"Time","{instance=""worker3"", interface=""lxc75bda36f2996""}"
2025-07-07 16:23:38,343 kB/s
2025-07-07 16:23:39,343 kB/s
2025-07-07 16:23:40,343 kB/s
2025-07-07 16:23:41,343 kB/s
2025-07-07 16:23:42,343 kB/s
2025-07-07 16:23:43,343 kB/s
2025-07-07 16:23:44,227 kB/s
2025-07-07 16:23:45,231 kB/s
2025-07-07 16:23:46,236 kB/s
2025-07-07 16:23:47,241 kB/s
2025-07-07 16:23:48,246 kB/s
2025-07-07 16:23:49,286 kB/s
2025-07-07 16:23:50,286 kB/s
2025-07-07 16:23:51,286 kB/s
2025-07-07 16:23:52,286 kB/s
2025-07-07 16:23:53,286 kB/s
2025-07-07 16:23:54,286 kB/s
2025-07-07 16:23:55,286 kB/s
2025-07-07 16:23:56,286 kB/s
2025-07-07 16:23:57,286 kB/s
2025-07-07 16:23:58,247 kB/s
2025-07-07 16:23:59,243 kB/s
2025-07-07 16:24:00,238 kB/s
2025-07-07 16:24:01,233 kB/s
2025-07-07 16:24:02,228 kB/s
2025-07-07 16:24:03,223 kB/s
2025-07-07 16:24:04,286 kB/s
2025-07-07 16:24:05,286 kB/s
2025-07-07 16:24:06,286 kB/s
2025-07-07 16:24:07,286 kB/s
2025-07-07 16:24:08,286 kB/s
2025-07-07 16:24:09,286 kB/s
2025-07-07 16:24:10,286 kB/s
2025-07-07 16:24:11,286 kB/s
2025-07-07 16:24:12,286 kB/s
2025-07-07 16:24:13,286 kB/s
2025-07-07 16:24:14,283 kB/s
2025-07-07 16:24:15,289 kB/s
2025-07-07 16:24:16,295 kB/s
2025-07-07 16:24:17,301 kB/s
2025-07-07 16:24:18,307 kB/s
2025-07-07 16:24:19,357 kB/s
2025-07-07 16:24:20,357 kB/s
2025-07-07 16:24:21,357 kB/s
2025-07-07 16:24:22,357 kB/s
2025-07-07 16:24:23,357 kB/s
2025-07-07 16:24:24,357 kB/s
2025-07-07 16:24:25,357 kB/s
2025-07-07 16:24:26,357 kB/s
2025-07-07 16:24:27,357 kB/s
2025-07-07 16:24:28,357 kB/s
2025-07-07 16:24:29,304 kB/s
2025-07-07 16:24:30,298 kB/s
2025-07-07 16:24:31,292 kB/s
2025-07-07 16:24:32,286 kB/s
2025-07-07 16:24:33,280 kB/s
2025-07-07 16:24:34,343 kB/s
2025-07-07 16:24:35,343 kB/s
2025-07-07 16:24:36,343 kB/s
2025-07-07 16:24:37,343 kB/s
2025-07-07 16:24:38,343 kB/s
2025-07-07 16:24:39,343 kB/s
2025-07-07 16:24:40,343 kB/s
2025-07-07 16:24:41,343 kB/s
2025-07-07 16:24:42,343 kB/s
2025-07-07 16:24:43,343 kB/s
2025-07-07 16:24:44,282 kB/s
2025-07-07 16:24:45,288 kB/s
2025-07-07 16:24:46,294 kB/s
2025-07-07 16:24:47,300 kB/s
2025-07-07 16:24:48,306 kB/s
2025-07-07 16:24:49,357 kB/s
2025-07-07 16:24:50,357 kB/s
2025-07-07 16:24:51,357 kB/s
2025-07-07 16:24:52,357 kB/s
2025-07-07 16:24:53,357 kB/s
2025-07-07 16:24:54,357 kB/s
2025-07-07 16:24:55,357 kB/s
2025-07-07 16:24:56,357 kB/s
2025-07-07 16:24:57,357 kB/s
2025-07-07 16:24:58,357 kB/s
2025-07-07 16:24:59,304 kB/s
2025-07-07 16:25:00,298 kB/s
2025-07-07 16:25:01,292 kB/s
2025-07-07 16:25:02,286 kB/s
2025-07-07 16:25:03,281 kB/s
2025-07-07 16:25:04,286 kB/s
2025-07-07 16:25:05,286 kB/s
2025-07-07 16:25:06,286 kB/s
2025-07-07 16:25:07,286 kB/s
2025-07-07 16:25:08,286 kB/s
2025-07-07 16:25:09,286 kB/s
2025-07-07 16:25:10,286 kB/s
2025-07-07 16:25:11,286 kB/s
