"Time","image-stats-746c9bfb67-8h4gh"
2025-07-07 16:22:10,0.00104 cores
2025-07-07 16:22:11,0.00104 cores
2025-07-07 16:22:12,0.00104 cores
2025-07-07 16:22:13,0.00104 cores
2025-07-07 16:22:14,0.00112 cores
2025-07-07 16:22:15,0.00107 cores
2025-07-07 16:22:16,0.00107 cores
2025-07-07 16:22:17,0.00107 cores
2025-07-07 16:22:18,0.00107 cores
2025-07-07 16:22:19,0.00107 cores
2025-07-07 16:22:20,0.00107 cores
2025-07-07 16:22:21,0.00107 cores
2025-07-07 16:22:22,0.00107 cores
2025-07-07 16:22:23,0.00107 cores
2025-07-07 16:22:24,0.00107 cores
2025-07-07 16:22:25,0.00107 cores
2025-07-07 16:22:26,0.00107 cores
2025-07-07 16:22:27,0.00107 cores
2025-07-07 16:22:28,0.00107 cores
2025-07-07 16:22:29,0.00107 cores
2025-07-07 16:22:30,0.00107 cores
2025-07-07 16:22:31,0.00107 cores
2025-07-07 16:22:32,0.00107 cores
2025-07-07 16:22:33,0.000588 cores
2025-07-07 16:22:34,0.000604 cores
2025-07-07 16:22:35,0.000621 cores
2025-07-07 16:22:36,0.000637 cores
2025-07-07 16:22:37,0.000653 cores
2025-07-07 16:22:38,0.000669 cores
2025-07-07 16:22:39,0.000685 cores
2025-07-07 16:22:40,0.000701 cores
2025-07-07 16:22:41,0.000718 cores
2025-07-07 16:22:42,0.000734 cores
2025-07-07 16:22:43,0.000750 cores
2025-07-07 16:22:44,0.000752 cores
2025-07-07 16:22:45,0.000768 cores
2025-07-07 16:22:46,0.000784 cores
2025-07-07 16:22:47,0.000800 cores
2025-07-07 16:22:48,0.000816 cores
2025-07-07 16:22:49,0.000832 cores
2025-07-07 16:22:50,0.000964 cores
2025-07-07 16:22:51,0.000964 cores
2025-07-07 16:22:52,0.000964 cores
2025-07-07 16:22:53,0.000964 cores
2025-07-07 16:22:54,0.000964 cores
2025-07-07 16:22:55,0.000964 cores
2025-07-07 16:22:56,0.000964 cores
2025-07-07 16:22:57,0.000964 cores
2025-07-07 16:22:58,0.000836 cores
2025-07-07 16:22:59,0.000820 cores
2025-07-07 16:23:00,0.000804 cores
2025-07-07 16:23:01,0.000788 cores
2025-07-07 16:23:02,0.000974 cores
2025-07-07 16:23:03,0.000974 cores
2025-07-07 16:23:04,0.000983 cores
2025-07-07 16:23:05,0.000983 cores
2025-07-07 16:23:06,0.000983 cores
2025-07-07 16:23:07,0.000983 cores
2025-07-07 16:23:08,0.000983 cores
2025-07-07 16:23:09,0.000983 cores
2025-07-07 16:23:10,0.000983 cores
2025-07-07 16:23:11,0.000983 cores
2025-07-07 16:23:12,0.000983 cores
2025-07-07 16:23:13,0.000983 cores
2025-07-07 16:23:14,0.000983 cores
2025-07-07 16:23:15,0.000810 cores
2025-07-07 16:23:16,0.000827 cores
2025-07-07 16:23:17,0.000835 cores
2025-07-07 16:23:18,0.000988 cores
2025-07-07 16:23:19,0.000988 cores
2025-07-07 16:23:20,0.000988 cores
2025-07-07 16:23:21,0.000988 cores
2025-07-07 16:23:22,0.000988 cores
2025-07-07 16:23:23,0.000988 cores
2025-07-07 16:23:24,0.000988 cores
2025-07-07 16:23:25,0.000988 cores
2025-07-07 16:23:26,0.000988 cores
2025-07-07 16:23:27,0.000988 cores
2025-07-07 16:23:28,0.000988 cores
2025-07-07 16:23:29,0.000988 cores
2025-07-07 16:23:30,0.00108 cores
2025-07-07 16:23:31,0.00108 cores
2025-07-07 16:23:32,0.00108 cores
2025-07-07 16:23:33,0.00111 cores
2025-07-07 16:23:34,0.00111 cores
2025-07-07 16:23:35,0.00111 cores
2025-07-07 16:23:36,0.00111 cores
2025-07-07 16:23:37,0.00111 cores
2025-07-07 16:23:38,0.00111 cores
2025-07-07 16:23:39,0.00111 cores
2025-07-07 16:23:40,0.00111 cores
2025-07-07 16:23:41,0.00114 cores
2025-07-07 16:23:42,0.00114 cores
2025-07-07 16:23:43,0.00114 cores
2025-07-07 16:23:44,0.000998 cores
2025-07-07 16:23:45,0.00102 cores
2025-07-07 16:23:46,0.00104 cores
2025-07-07 16:23:47,0.00121 cores
2025-07-07 16:23:48,0.00121 cores
2025-07-07 16:23:49,0.00121 cores
2025-07-07 16:23:50,0.00121 cores
2025-07-07 16:23:51,0.00121 cores
2025-07-07 16:23:52,0.00121 cores
2025-07-07 16:23:53,0.00121 cores
2025-07-07 16:23:54,0.00121 cores
2025-07-07 16:23:55,0.00105 cores
2025-07-07 16:23:56,0.00103 cores
2025-07-07 16:23:57,0.00101 cores
2025-07-07 16:23:58,0.00122 cores
2025-07-07 16:23:59,0.00122 cores
2025-07-07 16:24:00,0.00122 cores
2025-07-07 16:24:01,0.00122 cores
2025-07-07 16:24:02,0.00112 cores
2025-07-07 16:24:03,0.00131 cores
