"Time","image-preprocess-6b97b856cf-8wm7g"
2025-07-07 16:25:37,0.0199 cores
2025-07-07 16:25:38,0.0199 cores
2025-07-07 16:25:39,0.0199 cores
2025-07-07 16:25:40,0.0199 cores
2025-07-07 16:25:41,0.0199 cores
2025-07-07 16:25:42,0.0200 cores
2025-07-07 16:25:43,0.0200 cores
2025-07-07 16:25:44,0.0200 cores
2025-07-07 16:25:45,0.0200 cores
2025-07-07 16:25:46,0.0200 cores
2025-07-07 16:25:47,0.0200 cores
2025-07-07 16:25:48,0.0200 cores
2025-07-07 16:25:49,0.0200 cores
2025-07-07 16:25:50,0.0200 cores
2025-07-07 16:25:51,0.0200 cores
2025-07-07 16:25:52,0.0200 cores
2025-07-07 16:25:53,0.0200 cores
2025-07-07 16:25:54,0.0200 cores
2025-07-07 16:25:55,0.0168 cores
2025-07-07 16:25:56,0.0200 cores
2025-07-07 16:25:57,0.0200 cores
2025-07-07 16:25:58,0.0200 cores
2025-07-07 16:25:59,0.0200 cores
2025-07-07 16:26:00,0.0200 cores
2025-07-07 16:26:01,0.0200 cores
2025-07-07 16:26:02,0.0200 cores
2025-07-07 16:26:03,0.0200 cores
2025-07-07 16:26:04,0.0200 cores
2025-07-07 16:26:05,0.0200 cores
2025-07-07 16:26:06,0.0200 cores
2025-07-07 16:26:07,0.0200 cores
2025-07-07 16:26:08,0.0200 cores
2025-07-07 16:26:09,0.0200 cores
2025-07-07 16:26:10,0.0200 cores
2025-07-07 16:26:11,0.0200 cores
2025-07-07 16:26:12,0.0173 cores
2025-07-07 16:26:13,0.0200 cores
2025-07-07 16:26:14,0.0200 cores
2025-07-07 16:26:15,0.0200 cores
2025-07-07 16:26:16,0.0200 cores
2025-07-07 16:26:17,0.0200 cores
2025-07-07 16:26:18,0.0200 cores
2025-07-07 16:26:19,0.0200 cores
2025-07-07 16:26:20,0.0200 cores
2025-07-07 16:26:21,0.0200 cores
2025-07-07 16:26:22,0.0200 cores
2025-07-07 16:26:23,0.0200 cores
2025-07-07 16:26:24,0.0172 cores
2025-07-07 16:26:25,0.0169 cores
2025-07-07 16:26:26,0.0200 cores
2025-07-07 16:26:27,0.0200 cores
2025-07-07 16:26:28,0.0200 cores
2025-07-07 16:26:29,0.0200 cores
2025-07-07 16:26:30,0.0200 cores
2025-07-07 16:26:31,0.0200 cores
2025-07-07 16:26:32,0.0200 cores
2025-07-07 16:26:33,0.0200 cores
2025-07-07 16:26:34,0.0200 cores
2025-07-07 16:26:35,0.0200 cores
2025-07-07 16:26:36,0.0200 cores
2025-07-07 16:26:37,0.0200 cores
2025-07-07 16:26:38,0.0200 cores
2025-07-07 16:26:39,0.0200 cores
2025-07-07 16:26:40,0.0200 cores
2025-07-07 16:26:41,0.0200 cores
2025-07-07 16:26:42,0.0200 cores
2025-07-07 16:26:43,0.0200 cores
2025-07-07 16:26:44,0.0200 cores
2025-07-07 16:26:45,0.0200 cores
2025-07-07 16:26:46,0.0200 cores
2025-07-07 16:26:47,0.0200 cores
2025-07-07 16:26:48,0.0200 cores
2025-07-07 16:26:49,0.0200 cores
2025-07-07 16:26:50,0.0200 cores
2025-07-07 16:26:51,0.0200 cores
2025-07-07 16:26:52,0.0200 cores
2025-07-07 16:26:53,0.0200 cores
2025-07-07 16:26:54,0.0200 cores
2025-07-07 16:26:55,0.0200 cores
2025-07-07 16:26:56,0.0200 cores
2025-07-07 16:26:57,0.0200 cores
2025-07-07 16:26:58,0.0200 cores
2025-07-07 16:26:59,0.0200 cores
2025-07-07 16:27:00,0.0200 cores
2025-07-07 16:27:01,0.0200 cores
2025-07-07 16:27:02,0.0200 cores
2025-07-07 16:27:03,0.0200 cores
2025-07-07 16:27:04,0.0200 cores
2025-07-07 16:27:05,0.0200 cores
2025-07-07 16:27:06,0.0200 cores
2025-07-07 16:27:07,0.0200 cores
2025-07-07 16:27:08,0.0200 cores
2025-07-07 16:27:09,0.0169 cores
2025-07-07 16:27:10,0.0172 cores
2025-07-07 16:27:11,0.0168 cores
2025-07-07 16:27:12,0.0165 cores
2025-07-07 16:27:13,0.0170 cores
2025-07-07 16:27:14,0.0170 cores
2025-07-07 16:27:15,0.0170 cores
2025-07-07 16:27:16,0.0170 cores
2025-07-07 16:27:17,0.0170 cores
