"Time","image-stats-746c9bfb67-8h4gh"
2025-07-07 16:24:25,35.2 MiB
2025-07-07 16:24:26,35.2 MiB
2025-07-07 16:24:27,35.2 MiB
2025-07-07 16:24:28,35.2 MiB
2025-07-07 16:24:29,35.2 MiB
2025-07-07 16:24:30,35.2 MiB
2025-07-07 16:24:31,35.2 MiB
2025-07-07 16:24:32,35.2 MiB
2025-07-07 16:24:33,35.2 MiB
2025-07-07 16:24:34,35.2 MiB
2025-07-07 16:24:35,35.2 MiB
2025-07-07 16:24:36,35.2 MiB
2025-07-07 16:24:37,35.2 MiB
2025-07-07 16:24:38,35.2 MiB
2025-07-07 16:24:39,35.2 MiB
2025-07-07 16:24:40,35.2 MiB
2025-07-07 16:24:41,35.2 MiB
2025-07-07 16:24:42,35.2 MiB
2025-07-07 16:24:43,35.2 MiB
2025-07-07 16:24:44,35.2 MiB
2025-07-07 16:24:45,35.2 MiB
2025-07-07 16:24:46,35.2 MiB
2025-07-07 16:24:47,35.2 MiB
2025-07-07 16:24:48,35.2 MiB
2025-07-07 16:24:49,35.2 MiB
2025-07-07 16:24:50,35.2 MiB
2025-07-07 16:24:51,36.1 MiB
2025-07-07 16:24:52,36.1 MiB
2025-07-07 16:24:53,36.1 MiB
2025-07-07 16:24:54,36.1 MiB
2025-07-07 16:24:55,36.1 MiB
2025-07-07 16:24:56,36.1 MiB
2025-07-07 16:24:57,36.1 MiB
2025-07-07 16:24:58,36.1 MiB
2025-07-07 16:24:59,36.1 MiB
2025-07-07 16:25:00,36.1 MiB
2025-07-07 16:25:01,36.1 MiB
2025-07-07 16:25:02,36.1 MiB
2025-07-07 16:25:03,36.1 MiB
2025-07-07 16:25:04,36.1 MiB
2025-07-07 16:25:05,36.1 MiB
2025-07-07 16:25:06,36.1 MiB
2025-07-07 16:25:07,36.1 MiB
2025-07-07 16:25:08,36.1 MiB
2025-07-07 16:25:09,36.1 MiB
2025-07-07 16:25:10,36.1 MiB
2025-07-07 16:25:11,36.1 MiB
2025-07-07 16:25:12,36.1 MiB
2025-07-07 16:25:13,36.1 MiB
2025-07-07 16:25:14,36.1 MiB
2025-07-07 16:25:15,36.1 MiB
2025-07-07 16:25:16,36.2 MiB
2025-07-07 16:25:17,36.2 MiB
2025-07-07 16:25:18,36.2 MiB
2025-07-07 16:25:19,36.2 MiB
2025-07-07 16:25:20,36.2 MiB
2025-07-07 16:25:21,36.2 MiB
2025-07-07 16:25:22,36.2 MiB
2025-07-07 16:25:23,36.2 MiB
2025-07-07 16:25:24,36.2 MiB
