"Time","{instance=""worker3"", interface=""lxc53e184f941ad""}"
2025-07-07 10:47:12,29.6 kB/s
2025-07-07 10:47:13,29.6 kB/s
2025-07-07 10:47:14,25.3 kB/s
2025-07-07 10:47:15,24.8 kB/s
2025-07-07 10:47:16,24.3 kB/s
2025-07-07 10:47:17,23.8 kB/s
2025-07-07 10:47:18,23.3 kB/s
2025-07-07 10:47:19,17.5 kB/s
2025-07-07 10:47:20,17.5 kB/s
2025-07-07 10:47:21,17.5 kB/s
2025-07-07 10:47:22,17.5 kB/s
2025-07-07 10:47:23,17.5 kB/s
2025-07-07 10:47:24,17.5 kB/s
2025-07-07 10:47:25,17.5 kB/s
2025-07-07 10:47:26,17.5 kB/s
2025-07-07 10:47:27,17.5 kB/s
2025-07-07 10:47:28,17.5 kB/s
2025-07-07 10:47:29,370 B/s
2025-07-07 10:47:30,378 B/s
2025-07-07 10:47:31,386 B/s
2025-07-07 10:47:32,394 B/s
2025-07-07 10:47:33,401 B/s
2025-07-07 10:47:34,472 B/s
2025-07-07 10:47:35,472 B/s
2025-07-07 10:47:36,472 B/s
2025-07-07 10:47:37,472 B/s
2025-07-07 10:47:38,472 B/s
2025-07-07 10:47:39,472 B/s
2025-07-07 10:47:40,472 B/s
2025-07-07 10:47:41,472 B/s
2025-07-07 10:47:42,472 B/s
2025-07-07 10:47:43,472 B/s
2025-07-07 10:47:44,405 B/s
2025-07-07 10:47:45,397 B/s
2025-07-07 10:47:46,389 B/s
2025-07-07 10:47:47,381 B/s
2025-07-07 10:47:48,373 B/s
2025-07-07 10:47:49,472 B/s
2025-07-07 10:47:50,472 B/s
2025-07-07 10:47:51,472 B/s
2025-07-07 10:47:52,472 B/s
2025-07-07 10:47:53,472 B/s
2025-07-07 10:47:54,472 B/s
2025-07-07 10:47:55,472 B/s
2025-07-07 10:47:56,472 B/s
2025-07-07 10:47:57,472 B/s
2025-07-07 10:47:58,472 B/s
2025-07-07 10:47:59,368 B/s
2025-07-07 10:48:00,376 B/s
2025-07-07 10:48:01,384 B/s
2025-07-07 10:48:02,392 B/s
2025-07-07 10:48:03,399 B/s
2025-07-07 10:48:04,407 B/s
2025-07-07 10:48:05,470 B/s
2025-07-07 10:48:06,470 B/s
2025-07-07 10:48:07,470 B/s
2025-07-07 10:48:08,470 B/s
2025-07-07 10:48:09,470 B/s
2025-07-07 10:48:10,470 B/s
2025-07-07 10:48:11,470 B/s
2025-07-07 10:48:12,470 B/s
2025-07-07 10:48:13,470 B/s
2025-07-07 10:48:14,404 B/s
2025-07-07 10:48:15,396 B/s
2025-07-07 10:48:16,388 B/s
2025-07-07 10:48:17,381 B/s
2025-07-07 10:48:18,373 B/s
2025-07-07 10:48:19,470 B/s
2025-07-07 10:48:20,470 B/s
2025-07-07 10:48:21,470 B/s
2025-07-07 10:48:22,470 B/s
2025-07-07 10:48:23,470 B/s
2025-07-07 10:48:24,470 B/s
2025-07-07 10:48:25,470 B/s
2025-07-07 10:48:26,470 B/s
2025-07-07 10:48:27,470 B/s
2025-07-07 10:48:28,470 B/s
2025-07-07 10:48:29,371 B/s
2025-07-07 10:48:30,375 B/s
2025-07-07 10:48:31,383 B/s
2025-07-07 10:48:32,390 B/s
2025-07-07 10:48:33,398 B/s
2025-07-07 10:48:34,406 B/s
2025-07-07 10:48:35,470 B/s
2025-07-07 10:48:36,470 B/s
2025-07-07 10:48:37,470 B/s
2025-07-07 10:48:38,470 B/s
2025-07-07 10:48:39,470 B/s
2025-07-07 10:48:40,470 B/s
2025-07-07 10:48:41,470 B/s
2025-07-07 10:48:42,470 B/s
2025-07-07 10:48:43,470 B/s
2025-07-07 10:48:44,405 B/s
2025-07-07 10:48:45,397 B/s
2025-07-07 10:48:46,389 B/s
2025-07-07 10:48:47,381 B/s
2025-07-07 10:48:48,373 B/s
2025-07-07 10:48:49,375 B/s
2025-07-07 10:48:50,15.2 kB/s
2025-07-07 10:48:51,15.2 kB/s
2025-07-07 10:48:52,15.2 kB/s
2025-07-07 10:48:53,15.2 kB/s
2025-07-07 10:48:54,15.2 kB/s
2025-07-07 10:48:55,15.2 kB/s
2025-07-07 10:48:56,15.2 kB/s
2025-07-07 10:48:57,15.2 kB/s
2025-07-07 10:48:58,15.2 kB/s
2025-07-07 10:48:59,19.9 kB/s
2025-07-07 10:49:00,25.9 kB/s
2025-07-07 10:49:01,26.5 kB/s
2025-07-07 10:49:02,27.0 kB/s
2025-07-07 10:49:03,27.5 kB/s
2025-07-07 10:49:04,28.1 kB/s
2025-07-07 10:49:05,32.6 kB/s
2025-07-07 10:49:06,32.6 kB/s
2025-07-07 10:49:07,32.6 kB/s
2025-07-07 10:49:08,32.6 kB/s
2025-07-07 10:49:09,32.6 kB/s
2025-07-07 10:49:10,32.6 kB/s
2025-07-07 10:49:11,32.6 kB/s
2025-07-07 10:49:12,32.6 kB/s
2025-07-07 10:49:13,32.6 kB/s
2025-07-07 10:49:14,28.1 kB/s
2025-07-07 10:49:15,27.6 kB/s
2025-07-07 10:49:16,27.0 kB/s
2025-07-07 10:49:17,26.5 kB/s
2025-07-07 10:49:18,25.9 kB/s
2025-07-07 10:49:19,34.4 kB/s
2025-07-07 10:49:20,47.4 kB/s
2025-07-07 10:49:21,47.4 kB/s
2025-07-07 10:49:22,47.4 kB/s
2025-07-07 10:49:23,47.4 kB/s
2025-07-07 10:49:24,47.4 kB/s
2025-07-07 10:49:25,47.4 kB/s
2025-07-07 10:49:26,47.4 kB/s
2025-07-07 10:49:27,47.4 kB/s
2025-07-07 10:49:28,47.4 kB/s
2025-07-07 10:49:29,47.4 kB/s
2025-07-07 10:49:30,41.7 kB/s
2025-07-07 10:49:31,42.6 kB/s
2025-07-07 10:49:32,43.5 kB/s
2025-07-07 10:49:33,44.4 kB/s
2025-07-07 10:49:34,45.2 kB/s
2025-07-07 10:49:35,52.6 kB/s
2025-07-07 10:49:36,52.6 kB/s
2025-07-07 10:49:37,52.6 kB/s
2025-07-07 10:49:38,52.6 kB/s
2025-07-07 10:49:39,52.6 kB/s
2025-07-07 10:49:40,52.6 kB/s
2025-07-07 10:49:41,52.6 kB/s
2025-07-07 10:49:42,52.6 kB/s
2025-07-07 10:49:43,52.6 kB/s
2025-07-07 10:49:44,45.5 kB/s
2025-07-07 10:49:45,44.6 kB/s
2025-07-07 10:49:46,43.8 kB/s
2025-07-07 10:49:47,42.9 kB/s
2025-07-07 10:49:48,42.0 kB/s
2025-07-07 10:49:49,41.1 kB/s
2025-07-07 10:49:50,54.1 kB/s
2025-07-07 10:49:51,54.1 kB/s
2025-07-07 10:49:52,54.1 kB/s
2025-07-07 10:49:53,54.1 kB/s
2025-07-07 10:49:54,54.1 kB/s
2025-07-07 10:49:55,54.1 kB/s
2025-07-07 10:49:56,54.1 kB/s
2025-07-07 10:49:57,54.1 kB/s
2025-07-07 10:49:58,54.1 kB/s
2025-07-07 10:49:59,54.1 kB/s
2025-07-07 10:50:00,42.4 kB/s
2025-07-07 10:50:01,43.3 kB/s
2025-07-07 10:50:02,44.2 kB/s
2025-07-07 10:50:03,45.1 kB/s
2025-07-07 10:50:04,46.0 kB/s
2025-07-07 10:50:05,53.6 kB/s
2025-07-07 10:50:06,53.6 kB/s
2025-07-07 10:50:07,53.6 kB/s
2025-07-07 10:50:08,53.6 kB/s
2025-07-07 10:50:09,53.6 kB/s
2025-07-07 10:50:10,53.6 kB/s
2025-07-07 10:50:11,53.6 kB/s
2025-07-07 10:50:12,53.6 kB/s
2025-07-07 10:50:13,53.6 kB/s
2025-07-07 10:50:14,53.6 kB/s
2025-07-07 10:50:15,45.6 kB/s
2025-07-07 10:50:16,44.7 kB/s
2025-07-07 10:50:17,43.8 kB/s
2025-07-07 10:50:18,42.9 kB/s
2025-07-07 10:50:19,42.0 kB/s
2025-07-07 10:50:20,55.2 kB/s
2025-07-07 10:50:21,55.2 kB/s
2025-07-07 10:50:22,55.2 kB/s
2025-07-07 10:50:23,55.2 kB/s
2025-07-07 10:50:24,55.2 kB/s
2025-07-07 10:50:25,55.2 kB/s
2025-07-07 10:50:26,55.2 kB/s
2025-07-07 10:50:27,55.2 kB/s
2025-07-07 10:50:28,55.2 kB/s
2025-07-07 10:50:29,55.2 kB/s
2025-07-07 10:50:30,31.9 kB/s
2025-07-07 10:50:31,32.6 kB/s
2025-07-07 10:50:32,33.3 kB/s
2025-07-07 10:50:33,34.0 kB/s
2025-07-07 10:50:34,34.6 kB/s
2025-07-07 10:50:35,40.4 kB/s
2025-07-07 10:50:36,40.4 kB/s
2025-07-07 10:50:37,40.4 kB/s
2025-07-07 10:50:38,40.4 kB/s
2025-07-07 10:50:39,40.4 kB/s
2025-07-07 10:50:40,40.4 kB/s
2025-07-07 10:50:41,40.4 kB/s
2025-07-07 10:50:42,40.4 kB/s
2025-07-07 10:50:43,40.4 kB/s
2025-07-07 10:50:44,40.4 kB/s
2025-07-07 10:50:45,34.5 kB/s
2025-07-07 10:50:46,33.8 kB/s
2025-07-07 10:50:47,33.2 kB/s
2025-07-07 10:50:48,32.5 kB/s
2025-07-07 10:50:49,31.8 kB/s
2025-07-07 10:50:50,22.3 kB/s
2025-07-07 10:50:51,22.3 kB/s
2025-07-07 10:50:52,22.3 kB/s
2025-07-07 10:50:53,22.3 kB/s
2025-07-07 10:50:54,22.3 kB/s
2025-07-07 10:50:55,22.3 kB/s
2025-07-07 10:50:56,22.3 kB/s
2025-07-07 10:50:57,22.3 kB/s
2025-07-07 10:50:58,22.3 kB/s
2025-07-07 10:50:59,22.3 kB/s
2025-07-07 10:51:00,370 B/s
2025-07-07 10:51:01,378 B/s
2025-07-07 10:51:02,386 B/s
2025-07-07 10:51:03,394 B/s
2025-07-07 10:51:04,401 B/s
2025-07-07 10:51:05,470 B/s
2025-07-07 10:51:06,470 B/s
2025-07-07 10:51:07,470 B/s
2025-07-07 10:51:08,470 B/s
2025-07-07 10:51:09,470 B/s
2025-07-07 10:51:10,470 B/s
2025-07-07 10:51:11,470 B/s
2025-07-07 10:51:12,470 B/s
2025-07-07 10:51:13,470 B/s
2025-07-07 10:51:14,470 B/s
2025-07-07 10:51:15,402 B/s
2025-07-07 10:51:16,394 B/s
2025-07-07 10:51:17,386 B/s
2025-07-07 10:51:18,379 B/s
2025-07-07 10:51:19,371 B/s
2025-07-07 10:51:20,470 B/s
2025-07-07 10:51:21,470 B/s
2025-07-07 10:51:22,470 B/s
2025-07-07 10:51:23,470 B/s
2025-07-07 10:51:24,470 B/s
2025-07-07 10:51:25,470 B/s
2025-07-07 10:51:26,470 B/s
2025-07-07 10:51:27,470 B/s
2025-07-07 10:51:28,470 B/s
2025-07-07 10:51:29,470 B/s
2025-07-07 10:51:30,368 B/s
