"Time","{instance=""worker3"", interface=""lxc53e184f941ad""}"
2025-07-07 10:49:22,12.0 MB/s
2025-07-07 10:49:23,12.0 MB/s
2025-07-07 10:49:24,12.0 MB/s
2025-07-07 10:49:25,12.0 MB/s
2025-07-07 10:49:26,12.0 MB/s
2025-07-07 10:49:27,12.0 MB/s
2025-07-07 10:49:28,12.0 MB/s
2025-07-07 10:49:29,12.0 MB/s
2025-07-07 10:49:30,11.0 MB/s
2025-07-07 10:49:31,11.2 MB/s
2025-07-07 10:49:32,11.5 MB/s
2025-07-07 10:49:33,11.7 MB/s
2025-07-07 10:49:34,11.9 MB/s
2025-07-07 10:49:35,13.9 MB/s
2025-07-07 10:49:36,13.9 MB/s
2025-07-07 10:49:37,13.9 MB/s
2025-07-07 10:49:38,13.9 MB/s
2025-07-07 10:49:39,13.9 MB/s
2025-07-07 10:49:40,13.9 MB/s
2025-07-07 10:49:41,13.9 MB/s
2025-07-07 10:49:42,13.9 MB/s
2025-07-07 10:49:43,13.9 MB/s
2025-07-07 10:49:44,12.0 MB/s
2025-07-07 10:49:45,11.8 MB/s
2025-07-07 10:49:46,11.5 MB/s
2025-07-07 10:49:47,11.3 MB/s
2025-07-07 10:49:48,11.1 MB/s
2025-07-07 10:49:49,10.8 MB/s
2025-07-07 10:49:50,13.8 MB/s
2025-07-07 10:49:51,13.8 MB/s
2025-07-07 10:49:52,13.8 MB/s
2025-07-07 10:49:53,13.8 MB/s
2025-07-07 10:49:54,13.8 MB/s
2025-07-07 10:49:55,13.8 MB/s
2025-07-07 10:49:56,13.8 MB/s
2025-07-07 10:49:57,13.8 MB/s
2025-07-07 10:49:58,13.8 MB/s
2025-07-07 10:49:59,13.8 MB/s
2025-07-07 10:50:00,11.0 MB/s
2025-07-07 10:50:01,11.2 MB/s
2025-07-07 10:50:02,11.5 MB/s
2025-07-07 10:50:03,11.7 MB/s
2025-07-07 10:50:04,11.9 MB/s
2025-07-07 10:50:05,13.9 MB/s
2025-07-07 10:50:06,13.9 MB/s
2025-07-07 10:50:07,13.9 MB/s
2025-07-07 10:50:08,13.9 MB/s
2025-07-07 10:50:09,13.9 MB/s
2025-07-07 10:50:10,13.9 MB/s
2025-07-07 10:50:11,13.9 MB/s
2025-07-07 10:50:12,13.9 MB/s
2025-07-07 10:50:13,13.9 MB/s
2025-07-07 10:50:14,13.9 MB/s
2025-07-07 10:50:15,11.8 MB/s
2025-07-07 10:50:16,11.6 MB/s
2025-07-07 10:50:17,11.4 MB/s
2025-07-07 10:50:18,11.1 MB/s
2025-07-07 10:50:19,10.9 MB/s
2025-07-07 10:50:20,13.9 MB/s
