"Time","image-filter-cfbfd9b5f-zgrv9"
2025-07-07 10:46:33,0.00324 cores
2025-07-07 10:46:34,0.00324 cores
2025-07-07 10:46:35,0.00324 cores
2025-07-07 10:46:36,0.00324 cores
2025-07-07 10:46:37,0.00324 cores
2025-07-07 10:46:38,0.00324 cores
2025-07-07 10:46:39,0.00324 cores
2025-07-07 10:46:40,0.00324 cores
2025-07-07 10:46:41,0.00324 cores
2025-07-07 10:46:42,0.00324 cores
2025-07-07 10:46:43,0.00324 cores
2025-07-07 10:46:44,0.00448 cores
2025-07-07 10:46:45,0.00448 cores
2025-07-07 10:46:46,0.00448 cores
2025-07-07 10:46:47,0.00448 cores
2025-07-07 10:46:48,0.00448 cores
2025-07-07 10:46:49,0.00448 cores
2025-07-07 10:46:50,0.00644 cores
2025-07-07 10:46:51,0.00644 cores
2025-07-07 10:46:52,0.00644 cores
2025-07-07 10:46:53,0.00644 cores
2025-07-07 10:46:54,0.00644 cores
2025-07-07 10:46:55,0.00644 cores
2025-07-07 10:46:56,0.00644 cores
2025-07-07 10:46:57,0.00644 cores
2025-07-07 10:46:58,0.00644 cores
2025-07-07 10:46:59,0.00644 cores
2025-07-07 10:47:00,0.00702 cores
2025-07-07 10:47:01,0.00702 cores
2025-07-07 10:47:02,0.00702 cores
2025-07-07 10:47:03,0.00702 cores
2025-07-07 10:47:04,0.00702 cores
2025-07-07 10:47:05,0.00702 cores
2025-07-07 10:47:06,0.00702 cores
2025-07-07 10:47:07,0.00702 cores
2025-07-07 10:47:08,0.00702 cores
2025-07-07 10:47:09,0.00702 cores
2025-07-07 10:47:10,0.00702 cores
2025-07-07 10:47:11,0.00702 cores
2025-07-07 10:47:12,0.00702 cores
2025-07-07 10:47:13,0.00702 cores
2025-07-07 10:47:14,0.00702 cores
2025-07-07 10:47:15,0.00461 cores
2025-07-07 10:47:16,0.00447 cores
2025-07-07 10:47:17,0.00447 cores
2025-07-07 10:47:18,0.00447 cores
2025-07-07 10:47:19,0.00447 cores
2025-07-07 10:47:20,0.00447 cores
2025-07-07 10:47:21,0.00447 cores
2025-07-07 10:47:22,0.00447 cores
2025-07-07 10:47:23,0.00447 cores
2025-07-07 10:47:24,0.00447 cores
2025-07-07 10:47:25,0.00447 cores
2025-07-07 10:47:26,0.00447 cores
2025-07-07 10:47:27,0.00371 cores
2025-07-07 10:47:28,0.00371 cores
2025-07-07 10:47:29,0.00371 cores
2025-07-07 10:47:30,0.00371 cores
2025-07-07 10:47:31,0.00371 cores
2025-07-07 10:47:32,0.000590 cores
2025-07-07 10:47:33,0.000603 cores
2025-07-07 10:47:34,0.000615 cores
2025-07-07 10:47:35,0.000627 cores
2025-07-07 10:47:36,0.000727 cores
2025-07-07 10:47:37,0.000727 cores
2025-07-07 10:47:38,0.000727 cores
2025-07-07 10:47:39,0.000727 cores
2025-07-07 10:47:40,0.000727 cores
2025-07-07 10:47:41,0.000631 cores
2025-07-07 10:47:42,0.000619 cores
2025-07-07 10:47:43,0.000607 cores
2025-07-07 10:47:44,0.000595 cores
2025-07-07 10:47:45,0.000733 cores
2025-07-07 10:47:46,0.000733 cores
2025-07-07 10:47:47,0.000733 cores
2025-07-07 10:47:48,0.000733 cores
2025-07-07 10:47:49,0.000733 cores
2025-07-07 10:47:50,0.000731 cores
2025-07-07 10:47:51,0.000731 cores
2025-07-07 10:47:52,0.000731 cores
2025-07-07 10:47:53,0.000731 cores
2025-07-07 10:47:54,0.000731 cores
2025-07-07 10:47:55,0.000731 cores
2025-07-07 10:47:56,0.000731 cores
2025-07-07 10:47:57,0.000731 cores
2025-07-07 10:47:58,0.000731 cores
2025-07-07 10:47:59,0.000731 cores
2025-07-07 10:48:00,0.000506 cores
2025-07-07 10:48:01,0.000601 cores
2025-07-07 10:48:02,0.000589 cores
2025-07-07 10:48:03,0.000577 cores
2025-07-07 10:48:04,0.000790 cores
2025-07-07 10:48:05,0.000790 cores
2025-07-07 10:48:06,0.000790 cores
2025-07-07 10:48:07,0.000790 cores
2025-07-07 10:48:08,0.000790 cores
2025-07-07 10:48:09,0.000790 cores
2025-07-07 10:48:10,0.000790 cores
2025-07-07 10:48:11,0.000790 cores
2025-07-07 10:48:12,0.000790 cores
2025-07-07 10:48:13,0.000790 cores
2025-07-07 10:48:14,0.000790 cores
2025-07-07 10:48:15,0.000790 cores
2025-07-07 10:48:16,0.000825 cores
2025-07-07 10:48:17,0.000825 cores
2025-07-07 10:48:18,0.000825 cores
2025-07-07 10:48:19,0.000825 cores
2025-07-07 10:48:20,0.000825 cores
2025-07-07 10:48:21,0.000825 cores
2025-07-07 10:48:22,0.000825 cores
2025-07-07 10:48:23,0.000848 cores
2025-07-07 10:48:24,0.000848 cores
2025-07-07 10:48:25,0.000848 cores
2025-07-07 10:48:26,0.000848 cores
2025-07-07 10:48:27,0.000893 cores
2025-07-07 10:48:28,0.000893 cores
2025-07-07 10:48:29,0.000893 cores
2025-07-07 10:48:30,0.000893 cores
2025-07-07 10:48:31,0.000893 cores
2025-07-07 10:48:32,0.000893 cores
2025-07-07 10:48:33,0.000893 cores
2025-07-07 10:48:34,0.000893 cores
2025-07-07 10:48:35,0.000893 cores
2025-07-07 10:48:36,0.000893 cores
