"Time","image-stats-746c9bfb67-85h7x"
2025-07-07 10:48:57,36.5 MiB
2025-07-07 10:48:58,36.5 MiB
2025-07-07 10:48:59,36.5 MiB
2025-07-07 10:49:00,36.5 MiB
2025-07-07 10:49:01,36.9 MiB
2025-07-07 10:49:02,36.9 MiB
2025-07-07 10:49:03,36.9 MiB
2025-07-07 10:49:04,36.9 MiB
2025-07-07 10:49:05,36.9 MiB
2025-07-07 10:49:06,36.9 MiB
2025-07-07 10:49:07,36.9 MiB
2025-07-07 10:49:08,36.9 MiB
2025-07-07 10:49:09,36.9 MiB
2025-07-07 10:49:10,36.9 MiB
2025-07-07 10:49:11,36.9 MiB
2025-07-07 10:49:12,36.9 MiB
2025-07-07 10:49:13,36.9 MiB
2025-07-07 10:49:14,36.9 MiB
2025-07-07 10:49:15,36.9 MiB
2025-07-07 10:49:16,36.9 MiB
2025-07-07 10:49:17,37.9 MiB
2025-07-07 10:49:18,37.9 MiB
2025-07-07 10:49:19,37.9 MiB
2025-07-07 10:49:20,37.9 MiB
2025-07-07 10:49:21,37.9 MiB
2025-07-07 10:49:22,37.9 MiB
2025-07-07 10:49:23,37.9 MiB
2025-07-07 10:49:24,37.9 MiB
2025-07-07 10:49:25,37.9 MiB
2025-07-07 10:49:26,37.9 MiB
2025-07-07 10:49:27,37.9 MiB
2025-07-07 10:49:28,37.9 MiB
2025-07-07 10:49:29,38.1 MiB
2025-07-07 10:49:30,38.1 MiB
2025-07-07 10:49:31,38.1 MiB
2025-07-07 10:49:32,38.1 MiB
2025-07-07 10:49:33,38.1 MiB
2025-07-07 10:49:34,38.1 MiB
2025-07-07 10:49:35,38.1 MiB
2025-07-07 10:49:36,38.1 MiB
2025-07-07 10:49:37,38.1 MiB
2025-07-07 10:49:38,38.1 MiB
2025-07-07 10:49:39,38.1 MiB
2025-07-07 10:49:40,38.1 MiB
2025-07-07 10:49:41,38.1 MiB
2025-07-07 10:49:42,38.1 MiB
2025-07-07 10:49:43,38.3 MiB
2025-07-07 10:49:44,38.3 MiB
2025-07-07 10:49:45,38.3 MiB
2025-07-07 10:49:46,38.3 MiB
2025-07-07 10:49:47,38.3 MiB
2025-07-07 10:49:48,38.3 MiB
2025-07-07 10:49:49,38.3 MiB
2025-07-07 10:49:50,38.3 MiB
2025-07-07 10:49:51,38.3 MiB
2025-07-07 10:49:52,38.3 MiB
2025-07-07 10:49:53,38.3 MiB
2025-07-07 10:49:54,38.3 MiB
2025-07-07 10:49:55,38.5 MiB
2025-07-07 10:49:56,38.5 MiB
2025-07-07 10:49:57,38.5 MiB
2025-07-07 10:49:58,38.5 MiB
2025-07-07 10:49:59,38.5 MiB
2025-07-07 10:50:00,38.5 MiB
2025-07-07 10:50:01,38.5 MiB
2025-07-07 10:50:02,38.5 MiB
2025-07-07 10:50:03,38.5 MiB
2025-07-07 10:50:04,38.5 MiB
2025-07-07 10:50:05,38.5 MiB
2025-07-07 10:50:06,38.5 MiB
2025-07-07 10:50:07,38.5 MiB
2025-07-07 10:50:08,38.8 MiB
2025-07-07 10:50:09,38.8 MiB
2025-07-07 10:50:10,38.8 MiB
2025-07-07 10:50:11,38.8 MiB
2025-07-07 10:50:12,38.8 MiB
2025-07-07 10:50:13,38.8 MiB
2025-07-07 10:50:14,38.8 MiB
2025-07-07 10:50:15,38.8 MiB
2025-07-07 10:50:16,38.8 MiB
2025-07-07 10:50:17,38.8 MiB
2025-07-07 10:50:18,38.8 MiB
2025-07-07 10:50:19,38.8 MiB
2025-07-07 10:50:20,38.8 MiB
2025-07-07 10:50:21,38.8 MiB
2025-07-07 10:50:22,38.8 MiB
2025-07-07 10:50:23,38.8 MiB
2025-07-07 10:50:24,38.8 MiB
2025-07-07 10:50:25,38.8 MiB
2025-07-07 10:50:26,38.8 MiB
2025-07-07 10:50:27,38.8 MiB
2025-07-07 10:50:28,38.8 MiB
2025-07-07 10:50:29,38.8 MiB
2025-07-07 10:50:30,38.8 MiB
2025-07-07 10:50:31,38.8 MiB
2025-07-07 10:50:32,38.8 MiB
2025-07-07 10:50:33,38.3 MiB
2025-07-07 10:50:34,38.3 MiB
2025-07-07 10:50:35,38.3 MiB
2025-07-07 10:50:36,38.3 MiB
2025-07-07 10:50:37,38.3 MiB
2025-07-07 10:50:38,38.3 MiB
2025-07-07 10:50:39,38.3 MiB
2025-07-07 10:50:40,38.3 MiB
2025-07-07 10:50:41,38.3 MiB
2025-07-07 10:50:42,38.3 MiB
2025-07-07 10:50:43,38.3 MiB
2025-07-07 10:50:44,38.3 MiB
2025-07-07 10:50:45,38.3 MiB
2025-07-07 10:50:46,38.3 MiB
2025-07-07 10:50:47,38.3 MiB
2025-07-07 10:50:48,38.3 MiB
2025-07-07 10:50:49,38.3 MiB
2025-07-07 10:50:50,38.3 MiB
2025-07-07 10:50:51,38.3 MiB
2025-07-07 10:50:52,38.3 MiB
2025-07-07 10:50:53,38.3 MiB
2025-07-07 10:50:54,38.3 MiB
2025-07-07 10:50:55,38.3 MiB
2025-07-07 10:50:56,38.3 MiB
2025-07-07 10:50:57,38.3 MiB
2025-07-07 10:50:58,38.3 MiB
2025-07-07 10:50:59,38.3 MiB
2025-07-07 10:51:00,38.3 MiB
2025-07-07 10:51:01,38.3 MiB
2025-07-07 10:51:02,38.3 MiB
2025-07-07 10:51:03,38.3 MiB
2025-07-07 10:51:04,38.3 MiB
2025-07-07 10:51:05,38.3 MiB
2025-07-07 10:51:06,38.3 MiB
2025-07-07 10:51:07,38.3 MiB
2025-07-07 10:51:08,38.3 MiB
2025-07-07 10:51:09,38.3 MiB
2025-07-07 10:51:10,38.3 MiB
2025-07-07 10:51:11,38.3 MiB
2025-07-07 10:51:12,38.3 MiB
2025-07-07 10:51:13,38.3 MiB
2025-07-07 10:51:14,38.3 MiB
2025-07-07 10:51:15,38.3 MiB
2025-07-07 10:51:16,38.3 MiB
2025-07-07 10:51:17,38.3 MiB
2025-07-07 10:51:18,38.3 MiB
2025-07-07 10:51:19,38.3 MiB
2025-07-07 10:51:20,38.3 MiB
2025-07-07 10:51:21,38.3 MiB
2025-07-07 10:51:22,38.3 MiB
2025-07-07 10:51:23,38.3 MiB
2025-07-07 10:51:24,38.3 MiB
2025-07-07 10:51:25,38.3 MiB
2025-07-07 10:51:26,38.3 MiB
2025-07-07 10:51:27,38.3 MiB
2025-07-07 10:51:28,38.3 MiB
2025-07-07 10:51:29,38.3 MiB
2025-07-07 10:51:30,38.3 MiB
