"Time","image-stats-746c9bfb67-85h7x"
2025-07-07 10:47:22,0.00460 cores
2025-07-07 10:47:23,0.00460 cores
2025-07-07 10:47:24,0.00460 cores
2025-07-07 10:47:25,0.00460 cores
2025-07-07 10:47:26,0.00460 cores
2025-07-07 10:47:27,0.000672 cores
2025-07-07 10:47:28,0.000672 cores
2025-07-07 10:47:29,0.000672 cores
2025-07-07 10:47:30,0.000677 cores
2025-07-07 10:47:31,0.000677 cores
2025-07-07 10:47:32,0.000677 cores
2025-07-07 10:47:33,0.000677 cores
2025-07-07 10:47:34,0.000677 cores
2025-07-07 10:47:35,0.000677 cores
2025-07-07 10:47:36,0.000677 cores
2025-07-07 10:47:37,0.000677 cores
2025-07-07 10:47:38,0.000677 cores
2025-07-07 10:47:39,0.000677 cores
2025-07-07 10:47:40,0.000677 cores
2025-07-07 10:47:41,0.000677 cores
2025-07-07 10:47:42,0.000677 cores
2025-07-07 10:47:43,0.000677 cores
2025-07-07 10:47:44,0.000677 cores
2025-07-07 10:47:45,0.000694 cores
2025-07-07 10:47:46,0.000583 cores
2025-07-07 10:47:47,0.000572 cores
2025-07-07 10:47:48,0.000697 cores
2025-07-07 10:47:49,0.000697 cores
2025-07-07 10:47:50,0.000697 cores
2025-07-07 10:47:51,0.000697 cores
2025-07-07 10:47:52,0.000697 cores
2025-07-07 10:47:53,0.000697 cores
2025-07-07 10:47:54,0.000697 cores
2025-07-07 10:47:55,0.000697 cores
2025-07-07 10:47:56,0.000697 cores
2025-07-07 10:47:57,0.000697 cores
2025-07-07 10:47:58,0.000697 cores
2025-07-07 10:47:59,0.000697 cores
2025-07-07 10:48:00,0.000697 cores
2025-07-07 10:48:01,0.000571 cores
2025-07-07 10:48:02,0.000614 cores
2025-07-07 10:48:03,0.000627 cores
2025-07-07 10:48:04,0.000739 cores
2025-07-07 10:48:05,0.000739 cores
2025-07-07 10:48:06,0.000739 cores
2025-07-07 10:48:07,0.000739 cores
2025-07-07 10:48:08,0.000739 cores
2025-07-07 10:48:09,0.000739 cores
2025-07-07 10:48:10,0.000739 cores
2025-07-07 10:48:11,0.000739 cores
2025-07-07 10:48:12,0.000739 cores
2025-07-07 10:48:13,0.000739 cores
2025-07-07 10:48:14,0.000739 cores
2025-07-07 10:48:15,0.000739 cores
2025-07-07 10:48:16,0.000739 cores
2025-07-07 10:48:17,0.000629 cores
2025-07-07 10:48:18,0.000792 cores
2025-07-07 10:48:19,0.000792 cores
2025-07-07 10:48:20,0.000813 cores
2025-07-07 10:48:21,0.000813 cores
2025-07-07 10:48:22,0.000813 cores
2025-07-07 10:48:23,0.000813 cores
2025-07-07 10:48:24,0.000813 cores
2025-07-07 10:48:25,0.000813 cores
2025-07-07 10:48:26,0.000813 cores
2025-07-07 10:48:27,0.000813 cores
2025-07-07 10:48:28,0.000813 cores
2025-07-07 10:48:29,0.000813 cores
2025-07-07 10:48:30,0.000731 cores
2025-07-07 10:48:31,0.000746 cores
2025-07-07 10:48:32,0.000874 cores
2025-07-07 10:48:33,0.000874 cores
2025-07-07 10:48:34,0.000874 cores
2025-07-07 10:48:35,0.000874 cores
2025-07-07 10:48:36,0.000874 cores
2025-07-07 10:48:37,0.000874 cores
2025-07-07 10:48:38,0.000874 cores
2025-07-07 10:48:39,0.000874 cores
2025-07-07 10:48:40,0.000874 cores
2025-07-07 10:48:41,0.000874 cores
2025-07-07 10:48:42,0.000874 cores
2025-07-07 10:48:43,0.00268 cores
2025-07-07 10:48:44,0.00268 cores
2025-07-07 10:48:45,0.00268 cores
2025-07-07 10:48:46,0.00268 cores
2025-07-07 10:48:47,0.00268 cores
2025-07-07 10:48:48,0.00329 cores
2025-07-07 10:48:49,0.00329 cores
2025-07-07 10:48:50,0.00329 cores
2025-07-07 10:48:51,0.00329 cores
2025-07-07 10:48:52,0.00329 cores
2025-07-07 10:48:53,0.00329 cores
2025-07-07 10:48:54,0.00329 cores
2025-07-07 10:48:55,0.00329 cores
2025-07-07 10:48:56,0.00329 cores
2025-07-07 10:48:57,0.00329 cores
2025-07-07 10:48:58,0.00281 cores
2025-07-07 10:48:59,0.00276 cores
2025-07-07 10:49:00,0.00270 cores
2025-07-07 10:49:01,0.00600 cores
2025-07-07 10:49:02,0.00789 cores
2025-07-07 10:49:03,0.00789 cores
2025-07-07 10:49:04,0.00789 cores
2025-07-07 10:49:05,0.00789 cores
2025-07-07 10:49:06,0.00789 cores
2025-07-07 10:49:07,0.00789 cores
2025-07-07 10:49:08,0.00789 cores
2025-07-07 10:49:09,0.00789 cores
2025-07-07 10:49:10,0.00789 cores
2025-07-07 10:49:11,0.00789 cores
2025-07-07 10:49:12,0.00789 cores
2025-07-07 10:49:13,0.00789 cores
2025-07-07 10:49:14,0.00789 cores
2025-07-07 10:49:15,0.00789 cores
2025-07-07 10:49:16,0.00789 cores
2025-07-07 10:49:17,0.00897 cores
2025-07-07 10:49:18,0.0116 cores
2025-07-07 10:49:19,0.0116 cores
2025-07-07 10:49:20,0.0116 cores
2025-07-07 10:49:21,0.0116 cores
2025-07-07 10:49:22,0.0116 cores
2025-07-07 10:49:23,0.0116 cores
2025-07-07 10:49:24,0.0116 cores
2025-07-07 10:49:25,0.0116 cores
2025-07-07 10:49:26,0.0116 cores
2025-07-07 10:49:27,0.0116 cores
2025-07-07 10:49:28,0.0116 cores
2025-07-07 10:49:29,0.0117 cores
2025-07-07 10:49:30,0.0117 cores
2025-07-07 10:49:31,0.0117 cores
2025-07-07 10:49:32,0.0121 cores
2025-07-07 10:49:33,0.0121 cores
2025-07-07 10:49:34,0.0121 cores
2025-07-07 10:49:35,0.0121 cores
2025-07-07 10:49:36,0.0121 cores
2025-07-07 10:49:37,0.0121 cores
2025-07-07 10:49:38,0.0121 cores
2025-07-07 10:49:39,0.0121 cores
2025-07-07 10:49:40,0.0121 cores
2025-07-07 10:49:41,0.0121 cores
2025-07-07 10:49:42,0.0121 cores
2025-07-07 10:49:43,0.0102 cores
2025-07-07 10:49:44,0.0104 cores
2025-07-07 10:49:45,0.0106 cores
2025-07-07 10:49:46,0.0124 cores
2025-07-07 10:49:47,0.0124 cores
2025-07-07 10:49:48,0.0124 cores
2025-07-07 10:49:49,0.0124 cores
2025-07-07 10:49:50,0.0124 cores
2025-07-07 10:49:51,0.0124 cores
2025-07-07 10:49:52,0.0124 cores
2025-07-07 10:49:53,0.0124 cores
2025-07-07 10:49:54,0.0124 cores
2025-07-07 10:49:55,0.0124 cores
2025-07-07 10:49:56,0.0124 cores
2025-07-07 10:49:57,0.0124 cores
2025-07-07 10:49:58,0.0124 cores
2025-07-07 10:49:59,0.0124 cores
2025-07-07 10:50:00,0.0124 cores
2025-07-07 10:50:01,0.0107 cores
2025-07-07 10:50:02,0.0125 cores
2025-07-07 10:50:03,0.0125 cores
2025-07-07 10:50:04,0.0125 cores
2025-07-07 10:50:05,0.0125 cores
