"Time","image-stats-746c9bfb67-ttxt9"
2025-07-07 15:17:26,0.000706 cores
2025-07-07 15:17:28,0.000678 cores
2025-07-07 15:17:30,0.000829 cores
2025-07-07 15:17:32,0.000829 cores
2025-07-07 15:17:34,0.000814 cores
2025-07-07 15:17:36,0.000814 cores
2025-07-07 15:17:38,0.000814 cores
2025-07-07 15:17:40,0.000814 cores
2025-07-07 15:17:42,0.000788 cores
2025-07-07 15:17:44,0.000788 cores
2025-07-07 15:17:46,0.000788 cores
2025-07-07 15:17:48,0.000813 cores
2025-07-07 15:17:50,0.000813 cores
2025-07-07 15:17:52,0.000813 cores
2025-07-07 15:17:54,0.000813 cores
2025-07-07 15:17:56,0.000813 cores
2025-07-07 15:17:58,0.000818 cores
2025-07-07 15:18:00,0.000818 cores
2025-07-07 15:18:02,0.000818 cores
2025-07-07 15:18:04,0.000818 cores
2025-07-07 15:18:06,0.000818 cores
2025-07-07 15:18:08,0.000818 cores
2025-07-07 15:18:10,0.000818 cores
2025-07-07 15:18:12,0.000688 cores
2025-07-07 15:18:14,0.000684 cores
2025-07-07 15:18:16,0.000836 cores
2025-07-07 15:18:18,0.000836 cores
2025-07-07 15:18:20,0.000836 cores
2025-07-07 15:18:22,0.000836 cores
2025-07-07 15:18:24,0.000836 cores
2025-07-07 15:18:26,0.000836 cores
2025-07-07 15:18:28,0.000836 cores
2025-07-07 15:18:30,0.000925 cores
2025-07-07 15:18:32,0.000925 cores
2025-07-07 15:18:34,0.000925 cores
2025-07-07 15:18:36,0.000925 cores
2025-07-07 15:18:38,0.000925 cores
2025-07-07 15:18:40,0.000925 cores
2025-07-07 15:18:42,0.000941 cores
2025-07-07 15:18:44,0.000941 cores
2025-07-07 15:18:46,0.000941 cores
2025-07-07 15:18:48,0.000768 cores
2025-07-07 15:18:50,0.000930 cores
2025-07-07 15:18:52,0.000930 cores
2025-07-07 15:18:54,0.000930 cores
2025-07-07 15:18:56,0.000930 cores
2025-07-07 15:18:58,0.000958 cores
2025-07-07 15:19:00,0.000958 cores
2025-07-07 15:19:02,0.000958 cores
2025-07-07 15:19:04,0.000958 cores
2025-07-07 15:19:06,0.000927 cores
2025-07-07 15:19:08,0.000927 cores
2025-07-07 15:19:10,0.000927 cores
2025-07-07 15:19:12,0.000927 cores
2025-07-07 15:19:14,0.000927 cores
2025-07-07 15:19:16,0.000890 cores
2025-07-07 15:19:18,0.000890 cores
