"Time","image-filter-cfbfd9b5f-wxs72"
2025-07-07 15:24:16,0.00107 cores
2025-07-07 15:24:18,0.00107 cores
2025-07-07 15:24:20,0.000874 cores
2025-07-07 15:24:22,0.000839 cores
2025-07-07 15:24:24,0.000803 cores
2025-07-07 15:24:26,0.000768 cores
2025-07-07 15:24:28,0.000732 cores
2025-07-07 15:24:30,0.000850 cores
2025-07-07 15:24:32,0.000810 cores
2025-07-07 15:24:34,0.000769 cores
2025-07-07 15:24:36,0.000968 cores
2025-07-07 15:24:38,0.000968 cores
2025-07-07 15:24:40,0.000807 cores
2025-07-07 15:24:42,0.000807 cores
2025-07-07 15:24:44,0.000807 cores
2025-07-07 15:24:46,0.000807 cores
2025-07-07 15:24:48,0.000807 cores
2025-07-07 15:24:50,0.000825 cores
2025-07-07 15:24:52,0.000825 cores
2025-07-07 15:24:54,0.000825 cores
2025-07-07 15:24:56,0.000825 cores
2025-07-07 15:24:58,0.000825 cores
2025-07-07 15:25:00,0.000825 cores
2025-07-07 15:25:02,0.000501 cores
2025-07-07 15:25:04,0.000530 cores
2025-07-07 15:25:06,0.000417 cores
2025-07-07 15:25:08,0.000417 cores
2025-07-07 15:25:10,0.000417 cores
2025-07-07 15:25:12,0.000417 cores
2025-07-07 15:25:14,0.000417 cores
2025-07-07 15:25:16,0.000417 cores
2025-07-07 15:25:18,0.000417 cores
2025-07-07 15:25:20,0.00100 cores
2025-07-07 15:25:22,0.00100 cores
2025-07-07 15:25:24,0.00100 cores
2025-07-07 15:25:26,0.00100 cores
2025-07-07 15:25:28,0.00100 cores
2025-07-07 15:25:30,0.00100 cores
2025-07-07 15:25:32,0.000941 cores
2025-07-07 15:25:34,0.000941 cores
2025-07-07 15:25:36,0.000967 cores
2025-07-07 15:25:38,0.000967 cores
2025-07-07 15:25:40,0.000967 cores
2025-07-07 15:25:42,0.000967 cores
2025-07-07 15:25:44,0.000967 cores
2025-07-07 15:25:46,0.000967 cores
2025-07-07 15:25:48,0.000967 cores
2025-07-07 15:25:50,0.000495 cores
2025-07-07 15:25:52,0.000521 cores
2025-07-07 15:25:54,0.000547 cores
2025-07-07 15:25:56,0.000573 cores
2025-07-07 15:25:58,0.000598 cores
2025-07-07 15:26:00,0.000624 cores
2025-07-07 15:26:02,0.000650 cores
2025-07-07 15:26:04,0.000774 cores
2025-07-07 15:26:06,0.000656 cores
2025-07-07 15:26:08,0.000631 cores
2025-07-07 15:26:10,0.000870 cores
2025-07-07 15:26:12,0.000870 cores
2025-07-07 15:26:14,0.000870 cores
2025-07-07 15:26:16,0.000870 cores
2025-07-07 15:26:18,0.000870 cores
